Product ID,SES,DES,TES,MA,ARIMA,Auto ARIMA
100000093268 - TDL 100% Colombian Dark Medium 6x300g,26.30557200646081,21.105051150496525,35.070606202769774,25.94862104844744,26.918509397307478,27.035592721787864
100000093270 - TDL French Vanilla Light 6x300g,53.368766214374276,41.57039704884107,39.275451184282055,49.9082906920078,44.09020470890676,42.495549859495505
100000093271 - TDL Hazelnut Light Medium Roast 6x300g,17.2795055953958,15.56962613587302,28.398795912317244,16.799422285533396,14.333018628567377,9.47707792078414
100000093279 - TDL Original Blend Medium Roast 6x300g,2.3162860288258886,2.316288472426836,25.54979716445991,2.321411187138407,34.43598184338696,21.691421895861147
100000093283 - No Name SS OW Medium Roast 100CT COMP,0.005766546316088871,2.821440133048006,25.527826688640065,16.549909521528548,0.000814081877270616,0.20948273549175217
100000093288 - No Name SS OW Dark Roast 100CT COMP,3.9479737036944433,4.861865444944459,26.353898164698702,11.137947269303199,3.2551450924020586,9.53553374962831
100000093295 - PC SS West Coast Dark 4x30CT,46.876086408453624,15.199473329773467,52.13051207047518,29.51575263181469,41.50513458538478,46.18967543280157
100000093300 - PC Great Canadian 72ct,10.733767634485943,9.410524814397341,41.34384856222491,10.493891157037194,15.20274275273695,10.450552372440912
100000093301 - PC West Coast Dark 72ct,12.370549017564429,2.778044740008171,25.87396129667075,7.395893735757736,8.923024079635509,9.493550994291871
100000093307 - No Name Dark Roast Coffee 6x925g,18.82284662235097,21.031485393125294,35.579795532332724,31.438461620423645,22.984526240042605,26.211733122153714
100000093309 - No Name Medium Roast 6x925g,9.888540264308912,12.762807152919617,35.02795987912294,24.54003166947769,17.943548731644622,17.069657014055213
100000093326 - PC Gourmet West Coast Dark WB 6x907g,37.30665240439654,23.030134333959634,42.61412905547784,44.580952297897404,57.14255058961829,60.303583680399676
100000093327 - PC Gourmet Regular Grind 6x930g,92.21680852136119,75.71781550126195,92.96485904436935,141.52729307578534,140.58592036090369,166.70398974997133
100000093328 - PC Gourmet Extra Fine Grind 6x930g,126.7291359656297,24.395848118361872,70.81469815400975,154.23779499231222,147.26693442938412,181.8595488346976
100000093329 - PC Gourmet SWD Decaf Coffee 6x875g,59.92930660952784,52.38857382299715,35.1495096498106,73.31045125585355,75.37889297842064,83.5640423515841
100000093330 - PC Gourmet West Coast Dark Coffee 6x875g,100.93196269309708,42.65748932930573,78.21030699430635,129.2842598827461,139.5004517888664,161.6677392806367
100000093339 - PC Great Canadian Coffee 6x930g,88.12057129259304,14.710835175138431,80.00261512588223,131.31241719517192,122.60514653340482,132.40470767231102
100000093341 - PC Gourmet Medium Roast 72ct,3.30884819933559,3.1911715907563254,15.815473445788816,2.814820570457438,3.9882615270234276,20.23317037131413
100000093386 - No Name Medium Roast 102CT,2.4242757467202027,2.4242747016719233,2.4239140065289035,2.4280828089528437,2.8637617760598144,2.423933028231124
100000093485 - USF 100% Colombian 42X2oz,14.930330347584297,15.824020053630141,20.08306549199406,14.44148827058206,14.382387739886294,31.43489919153905
100000093885 - Maxwell House Dark Roast 4x30CT,39.53219999704615,14.745931494575915,50.780556206106596,25.87457232773987,29.05653373191907,49.516432462758736
100000093892 - Maxwell House Original Roast 4x30CT,23.467827984863153,14.640700527071928,20.62668323690083,17.10913413581586,18.230400744508586,20.953361454834727
100000093893 - Maxwell House House Blend 4x30CT,68.77546282852043,39.54864158939236,59.18916427828184,42.013931806398794,43.58893066452279,49.397130898880185
100000093894 - Maxwell House House Blend 4x15CT,111.26536980623204,155.40871493904325,103.39196212447514,84.12557501769284,85.25862535953561,97.12307590233546
100000093979 - Nabob 100% Colombian RA 56CT,0.040161221228439514,0.040163711776028906,32.067336315765175,14.581181277321795,6.812111265622847,0.041618085450597246
